"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 09:21:01 CST 2023","Wed Jun 14 09:21:01 CST 2023","4","","测试套件","TestPytestOne","","","测试标题：用例一","测试用例描述：用例一"
"passed","Wed Jun 14 09:21:01 CST 2023","Wed Jun 14 09:21:01 CST 2023","1","","测试套件","TestPytestOne","","","测试标题：用例二","测试用例描述：用例二"
